Filename,Rep number,elbow_hiking,shoulder_hiking,torso_twist
formfit-20260317-155234-10ms.csv,1,0,0,0
formfit-20260317-155234-10ms.csv,2,0,0,0
formfit-20260317-155234-10ms.csv,3,0,0,0
formfit-20260317-155234-10ms.csv,4,0,0,0
formfit-20260317-155234-10ms.csv,5,0,0,0
formfit-20260317-155234-10ms.csv,6,0,0,0
formfit-20260317-155234-10ms.csv,7,1,0,0
formfit-20260317-155234-10ms.csv,8,0,0,0
formfit-20260317-155234-10ms.csv,9,1,0,0
formfit-20260317-155234-10ms.csv,10,0,0,0
formfit-20260317-171243-10ms.csv,11,0,1,0
formfit-20260317-171243-10ms.csv,12,0,1,0
formfit-20260317-171243-10ms.csv,13,0,0,1
formfit-20260317-171243-10ms.csv,14,0,0,1
formfit-20260317-171243-10ms.csv,15,1,0,0
formfit-20260317-171243-10ms.csv,16,1,0,0
formfit-20260317-171243-10ms.csv,17,1,1,1
formfit-20260317-171243-10ms.csv,18,1,0,1
formfit-20260317-171243-10ms.csv,19,1,1,1
formfit-20260317-171243-10ms.csv,20,1,0,1
formfit-20260318-195805-10ms.csv,1,0,0,0
formfit-20260318-195805-10ms.csv,2,0,0,0
formfit-20260318-195805-10ms.csv,3,0,0,0
formfit-20260318-195805-10ms.csv,4,0,0,0
formfit-20260318-195805-10ms.csv,5,0,0,0
formfit-20260318-195805-10ms.csv,6,0,0,0
formfit-20260318-195805-10ms.csv,7,0,0,0
formfit-20260318-195805-10ms.csv,8,0,0,0
formfit-20260318-195805-10ms.csv,9,0,0,0
formfit-20260318-195805-10ms.csv,10,0,0,0
formfit-20260318-200048-10ms.csv,11,1,1,0
formfit-20260318-200048-10ms.csv,12,1,1,0
formfit-20260318-200048-10ms.csv,13,0,0,1
formfit-20260318-200048-10ms.csv,14,1,0,1
formfit-20260318-200048-10ms.csv,15,1,0,0
formfit-20260318-200048-10ms.csv,16,1,0,0
formfit-20260318-200048-10ms.csv,17,1,1,1
formfit-20260318-200048-10ms.csv,18,1,1,1
formfit-20260318-200048-10ms.csv,19,1,1,1
formfit-20260318-200048-10ms.csv,20,1,1,1
formfit-20260318-200602-10ms.csv,1,0,0,0
formfit-20260318-200602-10ms.csv,2,0,0,0
formfit-20260318-200602-10ms.csv,3,0,0,0
formfit-20260318-200602-10ms.csv,4,0,0,0
